
"QS119EW - Households by deprivation dimensions"
"ONS Crown Copyright Reserved [from Nomis on 17 December 2025]"
"Population :","All households"
"Units      :","Households"
"Date       :","2011"
"Rural Urban:","Total"

"2011 ward","All categories: Classification of household deprivation","Household is not deprived in any dimension","Household is deprived in 1 dimension","Household is deprived in 2 dimensions","Household is deprived in 3 dimensions","Household is deprived in 4 dimensions"
"E05008697 : Tarvin and Kelsall",3371,1823,1046,442,54,6
"E05008698 : Tattenhall",1869,1000,594,239,35,1
"E05008699 : Upton",3638,1881,1137,509,104,7
"E05008700 : Weaver and Cuddington",5456,2496,1783,984,184,9
"E05008701 : Whitby",3294,1623,1066,553,51,1
"E05008702 : Willaston and Thornton",1696,956,493,219,26,2
"E05008703 : Winnington and Castle",4195,1821,1255,825,266,28
"E05008704 : Winsford Over and Verdin",5537,2141,1756,1239,369,32
"E05008705 : Winsford Swanlow and Dene",3721,1413,1213,856,226,13
"E05008706 : Winsford Wharton",3918,1625,1207,826,247,13
"E05008707 : Witton and Rudheath",3505,1342,1120,773,254,16
"E05001577 : Appleton",3055,945,944,863,283,20
"E05001578 : Beechwood",1571,802,526,199,43,1
"E05001579 : Birchfield",2556,1624,672,222,37,1
"E05001580 : Broadheath",2590,846,835,686,210,13
"E05001581 : Halton Castle",2869,794,834,820,394,27
"E05001582 : Daresbury",1743,1047,492,175,29,0
"E05001583 : Ditton",3128,1085,976,814,238,15
"E05001584 : Farnworth",3070,1554,955,476,78,7
"E05001585 : Grange",2938,916,903,828,277,14
"E05001586 : Hale",787,321,263,176,25,2
"E05001587 : Halton Brook",2716,893,898,677,227,21
"E05001588 : Halton Lea",2803,744,861,807,363,28
"E05001589 : Halton View",2975,1110,943,703,205,14
"E05001590 : Heath",2514,1077,857,484,90,6
"E05001591 : Hough Green",3040,1016,997,786,228,13
"E05001592 : Kingsway",2674,926,842,661,228,17
"E05001593 : Mersey",3546,1337,1116,803,274,16
"E05001594 : Norton North",2716,1290,806,468,147,5
"E05001595 : Norton South",2744,839,894,691,303,17
"E05001596 : Riverside",2297,697,700,600,270,30
"E05001597 : Windmill Hill",980,197,328,299,156,0
"E05001598 : Appleton",4173,2403,1156,551,57,6
"E05001599 : Bewsey and Whitecross",5530,1912,1783,1305,486,44
"E05001600 : Birchwood",4839,2157,1490,903,267,22
"E05001601 : Burtonwood and Winwick",2557,1207,797,467,82,4
"E05001602 : Culcheth, Glazebury and Croft",4457,2369,1348,634,103,3
"E05001603 : Fairfield and Howley",6359,2336,1997,1498,473,55
"E05001604 : Grappenhall and Thelwall",3969,2270,1162,474,58,5
"E05001605 : Great Sankey North",2548,1386,742,362,55,3
"E05001606 : Great Sankey South",4335,2083,1395,699,150,8
"E05001607 : Hatton, Stretton and Walton",1188,803,288,86,8,3
"E05001608 : Latchford East",3731,1359,1190,861,297,24
"E05001609 : Latchford West",3275,1349,1086,682,149,9
"E05001610 : Lymm",5171,3123,1408,540,95,5
"E05001611 : Orford",4442,1518,1465,1083,345,31
"E05001612 : Penketh and Cuerdley",3526,1678,1125,626,92,5
"E05001613 : Poplars and Hulme",4559,1478,1516,1148,389,28
"E05001614 : Poulton North",4304,1737,1425,886,241,15
"E05001615 : Poulton South",2726,1264,897,488,74,3
"E05001616 : Rixton and Woolston",3702,1885,1120,579,114,4
"E05001617 : Stockton Heath",2728,1644,690,335,57,2
"E05001618 : Westbrook",2449,1429,687,281,49,3
"E05001619 : Whittle Hall",4572,2815,1163,472,114,8
"E05003114 : All Saints",2139,992,689,374,80,4
"E05003115 : Aspatria",1502,558,495,370,77,2
"E05003116 : Boltons",784,404,265,94,20,1
"E05003117 : Broughton St Bridget's",1729,947,485,254,41,2
"E05003118 : Christchurch",1648,840,507,254,44,3
"E05003119 : Clifton",710,263,208,193,45,1
"E05003120 : Crummock",675,393,206,67,9,0
"E05003121 : Dalton",776,447,235,78,16,0
"E05003122 : Derwent Valley",642,345,219,63,15,0
"E05003123 : Ellen",1367,582,452,272,60,1
"E05003124 : Ellenborough",1659,612,547,375,116,9
"E05003125 : Ewanrigg",1469,428,473,419,141,8
"E05003126 : Flimby",749,226,256,197,68,2
"E05003127 : Harrington",1337,648,426,219,38,6
"E05003128 : Holme",734,311,239,143,39,2
"E05003129 : Keswick",2370,1108,812,383,66,1
"E05003130 : Marsh",683,325,218,122,18,0
"E05003131 : Moorclose",2246,673,747,632,189,5
"E05003132 : Moss Bay",2284,567,738,675,284,20
"E05003133 : Netherhall",1409,543,447,302,114,3
"E05003134 : St John's",2487,1158,770,456,98,5
"E05003135 : St Michael's",2516,869,787,606,237,17
"E05003136 : Seaton",2201,1040,683,400,78,0
"E05003137 : Silloth",1462,531,507,344,73,7
"E05003138 : Solway",681,304,210,149,17,1
"E05003139 : Stainburn",702,377,226,88,11,0
"E05003140 : Wampool",697,328,245,105,18,1
"E05003141 : Warnell",781,410,265,94,11,1
"E05003142 : Waver",728,345,247,112,23,1
"E05003143 : Wharrels",663,342,205,88,24,4
"E05003144 : Wigton",2515,1027,799,547,135,7
"E05003145 : Barrow Island",1465,361,440,396,221,47
"E05003146 : Central",2155,526,669,594,308,58
"E05003147 : Dalton North",2553,1153,792,486,114,8
"E05003148 : Dalton South",2745,1192,836,559,141,17
"E05003149 : Hawcoat",2216,964,791,417,44,0
"E05003150 : Hindpool",3021,782,898,828,456,57
"E05003151 : Newbarns",2277,1013,669,460,127,8
"E05003152 : Ormsgill",2772,963,795,708,278,28
"E05003153 : Parkside",2359,1081,725,417,116,20
"E05003154 : Risedale",2751,904,850,714,266,17
"E05003155 : Roosecote",2050,1043,642,318,45,2
"E05003156 : Walney North",2455,853,752,672,167,11
"E05003157 : Walney South",2405,960,771,526,137,11
"E05003158 : Belah",2699,1279,875,456,85,4
"E05003159 : Belle Vue",2698,1167,875,474,159,23
"E05003160 : Botcherby",2855,929,954,715,235,22
"E05003161 : Brampton",2105,888,732,390,91,4
"E05003162 : Burgh",871,466,267,120,16,2
"E05003163 : Castle",2926,1095,1005,603,188,35
"E05003164 : Currock",2745,1078,931,545,179,12
"E05003165 : Dalston",2621,1339,817,393,62,10
"E05003166 : Denton Holme",3122,1323,1010,577,198,14
"E05003167 : Great Corby and Geltsdale",940,516,290,118,16,0
"E05003168 : Harraby",2973,1166,949,646,198,14
"E05003169 : Hayton",897,445,316,120,15,1
"E05003170 : Irthing",843,424,255,145,17,2
"E05003171 : Longtown & Rockcliffe",1813,647,673,375,112,6
"E05003172 : Lyne",816,329,295,156,33,3
"E05003173 : Morton",2913,873,977,797,243,23
"E05003174 : St Aidans",2935,1268,897,587,167,16
"E05003175 : Stanwix Rural",1933,1058,592,252,29,2
"E05003176 : Stanwix Urban",2567,1316,845,348,56,2
"E05003177 : Upperby",2461,633,875,671,260,22
"E05003178 : Wetheral",2014,1137,628,218,30,1
"E05003179 : Yewdale",2595,1121,877,503,93,1
"E05003180 : Arlecdon",660,334,197,101,24,4
"E05003181 : Beckermet",1309,634,440,190,38,7
"E05003182 : Bootle",584,243,205,117,19,0
"E05003183 : Bransty",2047,1153,555,283,55,1
"E05003184 : Cleator Moor North",1804,667,558,413,156,10
"E05003185 : Cleator Moor South",1245,446,396,295,102,6
"E05003186 : Distington",1763,637,568,435,120,3
"E05003187 : Egremont North",1878,760,574,406,129,9
"E05003188 : Egremont South",1727,717,541,367,96,6
"E05003189 : Ennerdale",447,238,116,71,21,1
"E05003190 : Frizington",1122,411,328,288,87,8
"E05003191 : Gosforth",644,335,213,85,11,0
"E05003192 : Harbour",2100,686,659,518,202,35
"E05003193 : Haverigg",574,211,190,151,18,4
"E05003194 : Hensingham",1857,721,568,435,129,4
"E05003195 : Hillcrest",1056,628,307,105,15,1
"E05003196 : Holborn Hill",1061,381,377,242,56,5
"E05003197 : Kells",1103,398,316,298,84,7
"E05003198 : Millom Without",571,280,189,83,19,0
"E05003199 : Mirehouse",1823,547,579,522,170,5
"E05003200 : Moresby",546,300,148,76,22,0
"E05003201 : Newtown",1585,557,527,398,100,3
"E05003202 : St Bees",737,440,203,79,15,0
"E05003203 : Sandwith",1057,291,331,298,131,6
"E05003204 : Seascale",1236,605,429,172,30,0
"E05003205 : Alston Moor",996,434,329,184,47,2
"E05003206 : Appleby (Appleby)",651,245,224,154,26,2
"E05003207 : Appleby (Bongate)",764,361,289,92,20,2
"E05003208 : Askham",620,295,208,102,15,0
"E05003209 : Brough",562,246,214,84,16,2
"E05003210 : Crosby Ravensworth",574,291,203,75,3,2
"E05003211 : Dacre",637,322,209,90,15,1
"E05003212 : Eamont",635,306,222,90,16,1
"E05003213 : Greystoke",639,315,212,105,7,0
"E05003214 : Hartside",531,271,162,83,14,1
"E05003215 : Hesket",1260,656,384,193,27,0
"E05003216 : Kirkby Stephen",1170,479,398,236,53,4
"E05003217 : Kirkby Thore",640,311,208,96,24,1
"E05003218 : Kirkoswald",600,305,208,71,16,0
"E05003219 : Langwathby",644,318,216,94,15,1
"E05003220 : Lazonby",625,323,199,87,15,1
"E05003221 : Long Marton",538,249,182,87,20,0
"E05003222 : Morland",532,305,156,58,11,2
"E05003223 : Orton with Tebay",589,244,204,118,19,4
"E05003224 : Penrith Carleton",696,345,252,90,9,0
"E05003225 : Penrith East",1200,484,432,234,46,4
"E05003226 : Penrith North",1823,873,611,289,46,4
"E05003227 : Penrith Pategill",663,196,226,178,58,5
"E05003228 : Penrith South",1160,441,413,250,43,13
"E05003229 : Penrith West",1488,648,477,276,71,16
"E05003230 : Ravenstonedale",420,209,132,70,9,0
"E05003231 : Shap",620,253,230,112,25,0
"E05003232 : Skelton",608,295,209,85,18,1
"E05003233 : Ullswater",595,313,200,68,13,1
"E05003234 : Warcop",563,285,185,79,13,1
"E05003235 : Ambleside and Grasmere",1775,820,669,243,41,2
"E05003236 : Arnside and Beetham",1928,979,667,243,38,1
"E05003237 : Broughton",998,502,320,159,16,1
"E05003238 : Burneside",826,370,292,134,29,1
"E05003239 : Burton and Holme",1609,870,541,181,17,0
"E05003240 : Cartmel and Grange West",822,428,288,86,16,4
"E05003241 : Coniston and Crake Valley",717,330,266,109,11,1
"E05003242 : Crooklands",913,510,297,90,16,0
"E05003243 : Grange North",1007,421,386,167,30,3
"E05003244 : Grange South",1084,500,427,141,15,1
"E05003245 : Hawkshead",804,399,277,107,20,1
"E05003246 : Holker",831,350,303,148,29,1
"E05003247 : Kendal Castle",790,416,242,117,15,0
"E05003248 : Kendal Far Cross",953,386,287,215,58,7
"E05003249 : Kendal Fell",1223,563,396,202,54,8
"E05003250 : Kendal Heron Hill",895,421,307,151,13,3
"E05003251 : Kendal Highgate",1077,505,328,192,44,8
"E05003252 : Kendal Kirkland",841,290,308,199,36,8
"E05003253 : Kendal Mintsfeet",1006,500,338,143,22,3
"E05003254 : Kendal Nether",909,461,287,143,17,1
"E05003255 : Kendal Oxenholme and Natland",889,478,289,104,15,3
"E05003256 : Kendal Parks",840,449,281,87,23,0
"E05003257 : Kendal Romney",942,434,297,169,40,2
"E05003258 : Kendal Stonecross",1040,516,356,154,14,0
"E05003259 : Kendal Strickland",893,499,275,103,15,1
"E05003260 : Kendal Underley",934,406,297,166,63,2
"E05003261 : Levens",943,503,328,96,15,1
"E05003262 : Low Furness",728,378,231,103,16,0
"E05003263 : Lyth Valley",965,524,321,100,19,1
"E05003264 : Mid Furness",1725,871,541,257,54,2
"E05003265 : Milnthorpe",947,444,318,157,26,2
"E05003266 : Sedbergh and Kirkby Lonsdale",2719,1364,904,386,61,4
"E05003267 : Staveley-in-Cartmel",914,465,308,119,21,1
"E05003268 : Staveley-in-Westmorland",960,494,302,140,24,0
"E05003269 : Ulverston Central",774,321,243,168,41,1
"E05003270 : Ulverston East",1005,427,319,195,62,2
"E05003271 : Ulverston North",960,476,324,129,29,2
"E05003272 : Ulverston South",739,329,259,129,21,1
"E05003273 : Ulverston Town",1006,407,328,210,58,3
"E05003274 : Ulverston West",904,475,304,117,8,0
"E05003275 : Whinfell",790,436,243,100,10,1
"E05003276 : Windermere Applethwaite and Troutbeck",1030,439,396,149,44,2
"E05003277 : Windermere Bowness North",896,446,309,124,15,2
"E05003278 : Windermere Bowness South",1059,527,359,137,33,3
"E05003279 : Windermere Town",942,415,303,179,44,1
"E05000650 : Astley Bridge",5908,2700,1946,1020,227,15
"E05000651 : Bradshaw",4936,2240,1667,824,191,14
"E05000652 : Breightmet",5897,1967,1944,1446,491,49
"E05000653 : Bromley Cross",5913,3324,1755,705,126,3
"E05000654 : Crompton",6371,1926,2114,1596,671,64
"E05000655 : Farnworth",6847,2016,2169,1844,744,74
"E05000656 : Great Lever",5388,1351,1835,1577,544,81
"E05000657 : Halliwell",6302,1445,2056,1913,790,98
"E05000658 : Harper Green",5514,1773,1828,1429,449,35
"E05000659 : Heaton and Lostock",5412,3053,1652,621,83,3
"E05000660 : Horwich and Blackrod",5560,2620,1696,977,248,19
"E05000661 : Horwich North East",5418,2492,1698,978,236,14
"E05000662 : Hulton",5873,2356,1903,1283,302,29
"E05000663 : Kearsley",6275,2475,2073,1276,405,46
"E05000664 : Little Lever and Darcy Lever",5521,2253,1759,1201,286,22
"E05000665 : Rumworth",5982,1459,1984,1721,734,84
"E05000666 : Smithills",5965,2603,1854,1169,307,32
"E05000667 : Tonge with the Haulgh",5856,1836,1956,1505,483,76
"E05000668 : Westhoughton North and Chew Moor",6020,3041,1773,1011,185,10
"E05000669 : Westhoughton South",5413,2526,1615,983,269,20
"E05000670 : Besses",4555,1774,1479,993,297,12
"E05000671 : Church",4452,2039,1511,744,145,13
"E05000672 : East",4493,1313,1426,1200,499,55
"E05000673 : Elton",4775,2306,1491,774,189,15
"E05000674 : Holyrood",4765,2226,1540,768,215,16
"E05000675 : Moorside",5095,1781,1631,1238,405,40
"E05000676 : North Manor",4189,2191,1335,585,72,6
"E05000677 : Pilkington Park",4171,2052,1313,669,128,9
"E05000678 : Radcliffe East",4824,1930,1600,931,337,26
"E05000679 : Radcliffe North",4894,1996,1551,1029,287,31
"E05000680 : Radcliffe West",4850,1953,1499,1017,339,42
"E05000681 : Ramsbottom",5003,2691,1373,761,160,18
"E05000682 : Redvales",4817,1819,1610,1061,296,31
"E05000683 : St Mary's",4582,2005,1415,867,268,27
"E05000684 : Sedgley",4542,2066,1434,806,222,14
"E05000685 : Tottington",3991,2151,1168,553,110,9
"E05000686 : Unsworth",4115,1856,1298,774,172,15
"E05000687 : Ancoats and Clayton",7841,2280,3064,1672,758,67
"E05000688 : Ardwick",6436,1680,2270,1633,760,93
"E05000689 : Baguley",6470,2001,2140,1631,650,48
"E05000690 : Bradford",7039,1846,2536,1805,762,90
"E05000691 : Brooklands",6551,2451,2026,1487,539,48
"E05000692 : Burnage",5789,1917,1857,1432,554,29
"E05000693 : Charlestown",6237,1801,1998,1710,677,51
"E05000694 : Cheetham",8273,2249,3043,2059,838,84
"E05000695 : Chorlton",6188,3577,1545,777,253,36
"E05000696 : Chorlton Park",6659,3255,1827,1119,424,34
"E05000697 : City Centre",8052,3187,3920,819,117,9
"E05000698 : Crumpsall",6510,1873,2197,1708,650,82
"E05000699 : Didsbury East",5970,3388,1633,736,190,23
"E05000700 : Didsbury West",6103,3529,1726,644,175,29
"E05000701 : Fallowfield",4632,1630,1520,1048,394,40
"E05000702 : Gorton North",7052,1740,2461,1954,812,85
"E05000703 : Gorton South",7830,2427,2563,1949,807,84
"E05000704 : Harpurhey",7810,1822,2581,2212,1097,98
"E05000705 : Higher Blackley",6063,1650,2025,1672,666,50
"E05000706 : Hulme",7309,2869,2668,1208,501,63
"E05000707 : Levenshulme",5366,2149,1750,1084,338,45
"E05000708 : Longsight",4767,1247,1654,1231,562,73
"E05000709 : Miles Platting and Newton Heath",6846,1547,2194,1989,1004,112
"E05000710 : Moss Side",6847,1994,2350,1737,684,82
"E05000711 : Moston",6115,2085,1997,1506,493,34
"E05000712 : Northenden",6268,2260,2038,1418,507,45
"E05000713 : Old Moat",5423,2148,1779,1045,420,31
"E05000714 : Rusholme",4468,1419,1554,1015,419,61
"E05000715 : Sharston",7254,2217,2323,1879,769,66
"E05000716 : Whalley Range",6185,2528,2042,1163,393,59
"E05000717 : Withington",4753,2160,1627,709,229,28
"E05000718 : Woodhouse Park",5863,1614,1855,1694,662,38
"E05000719 : Alexandra",4789,1056,1584,1441,649,59
"E05000720 : Chadderton Central",4332,1790,1427,884,218,13
"E05000721 : Chadderton North",4313,1694,1403,956,242,18
"E05000722 : Chadderton South",4713,1636,1577,1155,324,21
"E05000723 : Coldhurst",4278,748,1351,1380,724,75
"E05000724 : Crompton",4617,2035,1528,875,171,8
"E05000725 : Failsworth East",4515,1844,1473,956,227,15
"E05000726 : Failsworth West",4488,1541,1514,1116,300,17
"E05000727 : Hollinwood",4515,1201,1513,1260,495,46
"E05000728 : Medlock Vale",4540,1287,1619,1204,396,34
"E05000729 : Royton North",4399,1895,1415,879,195,15
"E05000730 : Royton South",4699,2023,1523,930,203,20
"E05000731 : Saddleworth North",4068,2192,1216,564,91,5
"E05000732 : Saddleworth South",4355,2360,1282,609,96,8
"E05000733 : Saddleworth West and Lees",4764,2367,1434,814,138,11
"E05000734 : St James'",4734,1784,1607,981,336,26
"E05000735 : St Mary's",4358,916,1495,1338,566,43
"E05000736 : Shaw",4582,1950,1397,943,269,23
"E05000737 : Waterhead",4977,1683,1624,1197,440,33
"E05000738 : Werneth",3667,826,1252,1115,428,46
"E05000739 : Balderstone and Kirkholt",4429,1354,1344,1236,448,47
"E05000740 : Bamford",3931,1872,1287,597,159,16
"E05000741 : Castleton",4315,1535,1421,1047,291,21
"E05000742 : Central Rochdale",4281,861,1326,1346,627,121
"E05000743 : East Middleton",4683,1705,1512,1121,323,22
"E05000744 : Healey",4142,1789,1369,777,197,10
"E05000745 : Hopwood Hall",5036,1868,1578,1198,373,19
"E05000746 : Kingsway",4476,1250,1507,1152,517,50
"E05000747 : Littleborough Lakeside",4071,1804,1255,794,201,17
"E05000748 : Milkstone and Deeplish",3764,722,1274,1169,548,51
"E05000749 : Milnrow and Newhey",4390,2021,1337,836,184,12
"E05000750 : Norden",3864,2245,1099,444,69,7
"E05000751 : North Heywood",4644,1496,1450,1220,441,37
"E05000752 : North Middleton",4453,1647,1509,976,300,21
"E05000753 : Smallbridge and Firgrove",4674,1178,1524,1355,564,53
"E05000754 : South Middleton",4211,1754,1371,860,205,21
"E05000755 : Spotland and Falinge",4176,1389,1336,1036,378,37
"E05000756 : Wardle and West Littleborough",4230,2115,1323,649,132,11
"E05000757 : West Heywood",4725,1532,1491,1150,494,58
"E05000758 : West Middleton",5057,1319,1561,1498,634,45
"E05000759 : Barton",5791,1948,1845,1419,534,45
"E05000760 : Boothstown and Ellenbrook",3881,2233,1103,466,77,2
"E05000761 : Broughton",5892,1360,1825,1755,864,88
"E05000762 : Cadishead",4381,1644,1443,988,281,25
"E05000763 : Claremont",4151,1914,1264,764,200,9
"E05000764 : Eccles",5282,2177,1553,1155,368,29
"E05000765 : Irlam",4080,1504,1356,979,223,18
"E05000766 : Irwell Riverside",5245,1650,1693,1274,573,55
"E05000767 : Kersal",4746,1781,1523,1075,334,33
"E05000768 : Langworthy",6531,1686,2060,1829,874,82
"E05000769 : Little Hulton",5479,1417,1714,1688,624,36
"E05000770 : Ordsall",8059,2820,3414,1290,499,36
"E05000771 : Pendlebury",5458,2012,1662,1314,440,30
"E05000772 : Swinton North",5019,1833,1614,1201,351,20
"E05000773 : Swinton South",4813,1904,1587,1016,285,21
"E05000774 : Walkden North",5279,1761,1599,1389,483,47
"E05000775 : Walkden South",4565,2040,1415,866,233,11
"E05000776 : Weaste and Seedley",5403,1868,1722,1368,421,24
"E05000777 : Winton",5234,1714,1644,1302,515,59
"E05000778 : Worsley",4267,2406,1268,522,70,1
"E05000779 : Bramhall North",5316,3068,1586,580,74,8
"E05000780 : Bramhall South",4887,2885,1488,464,46,4
"E05000781 : Bredbury and Woodley",5957,2587,1925,1140,274,31
"E05000782 : Bredbury Green and Romiley",6234,2473,2049,1318,357,37
"E05000783 : Brinnington and Central",7422,1878,2320,2121,1014,89
"E05000784 : Cheadle and Gatley",5984,3039,1852,916,162,15
"E05000785 : Cheadle Hulme North",5630,2615,1804,971,219,21
"E05000786 : Cheadle Hulme South",5547,3074,1607,734,115,17
"E05000787 : Davenport and Cale Green",6306,2584,1922,1298,458,44
"E05000788 : Edgeley and Cheadle Heath",6399,2895,1879,1202,390,33
"E05000789 : Hazel Grove",5987,2951,1913,892,204,27
"E05000790 : Heald Green",4893,2232,1722,809,119,11
"E05000791 : Heatons North",5741,2907,1742,876,188,28
"E05000792 : Heatons South",6003,3212,1747,813,205,26
"E05000793 : Manor",5933,2566,1845,1182,301,39
"E05000794 : Marple North",5031,2834,1504,594,93,6
"E05000795 : Marple South",5125,2435,1677,838,163,12
"E05000796 : Offerton",5764,2459,1808,1163,314,20
"E05000797 : Reddish North",6344,2461,2047,1374,425,37
"E05000798 : Reddish South",6168,2592,1944,1241,342,49
"E05000799 : Stepping Hill",5308,2698,1665,796,139,10
"E05000800 : Ashton Hurst",4769,1703,1593,1081,359,33
"E05000801 : Ashton St Michael's",4989,1779,1644,1127,389,50
"E05000802 : Ashton Waterloo",4751,1725,1483,1192,319,32
"E05000803 : Audenshaw",4891,2012,1554,1038,267,20
"E05000804 : Denton North East",4949,1843,1646,1127,305,28
"E05000805 : Denton South",5109,1501,1725,1406,443,34
"E05000806 : Denton West",5069,2100,1669,1092,199,9
"E05000807 : Droylsden East",5127,1810,1666,1243,382,26
"E05000808 : Droylsden West",4789,1718,1612,1126,313,20
"E05000809 : Dukinfield",5434,1971,1751,1253,417,42
"E05000810 : Dukinfield Stalybridge",4863,1876,1572,1088,302,25
"E05000811 : Hyde Godley",4887,1699,1543,1186,417,42
"E05000812 : Hyde Newton",5807,2129,1827,1316,498,37
"E05000813 : Hyde Werneth",4597,1945,1511,899,235,7
"E05000814 : Longdendale",4520,1643,1386,1110,367,14
"E05000815 : Mossley",4924,2384,1438,808,274,20
"E05000816 : St Peter's",5500,1489,1724,1518,665,104
"E05000817 : Stalybridge North",5416,2061,1681,1221,423,30
"E05000818 : Stalybridge South",4562,2231,1348,785,185,13
