QS102EW - Population density,,
ONS Crown Copyright Reserved [from Nomis on 17 December 2025],,
,,
population,All usual residents,
E05003211 : Dacre,"1,438",0.5
E05003212 : Eamont,"1,447",0.8
E05003213 : Greystoke,"1,374",0.1
E05003214 : Hartside,"1,273",0.1
E05003215 : Hesket,"3,193",0.4
E05003216 : Kirkby Stephen,"2,580",0.2
E05003217 : Kirkby Thore,"1,563",0.3
E05003218 : Kirkoswald,"1,471",0.1
E05003219 : Langwathby,"1,562",0.3
E05003220 : Lazonby,"1,388",0.3
E05003221 : Long Marton,"1,202",0.1
E05003222 : Morland,"1,300",0.3
E05003223 : Orton with Tebay,"1,364",0.1
E05003224 : Penrith Carleton,"1,540",6.2
E05003225 : Penrith East,"2,684",28.7
E05003226 : Penrith North,"4,124",1.9
E05003227 : Penrith Pategill,"1,398",22.0
E05003228 : Penrith South,"2,496",17.1
E05003229 : Penrith West,"3,245",9.5
E05003230 : Ravenstonedale,976,0.1
E05003231 : Shap,"1,394",0.1
E05003232 : Skelton,"1,497",0.2
E05003233 : Ullswater,"1,422",0.1
E05003234 : Warcop,"1,352",0.1
E05003235 : Ambleside and Grasmere,"3,971",0.4
E05003236 : Arnside and Beetham,"4,118",1.4
E05003237 : Broughton,"2,205",0.2
E05003238 : Burneside,"1,888",0.7
E05003239 : Burton and Holme,"3,789",0.6
E05003240 : Cartmel and Grange West,"1,831",0.6
E05003241 : Coniston and Crake Valley,"1,575",0.2
E05003242 : Crooklands,"2,176",1.1
E05003243 : Grange North,"1,903",3.4
E05003244 : Grange South,"2,211",11.8
E05003245 : Hawkshead,"1,704",0.1
E05003246 : Holker,"1,869",1.1
E05003247 : Kendal Castle,"1,832",8.6
E05003248 : Kendal Far Cross,"2,056",17.7
E05003249 : Kendal Fell,"2,358",16.1
E05003250 : Kendal Heron Hill,"1,953",22.8
E05003251 : Kendal Highgate,"2,221",26.5
E05003252 : Kendal Kirkland,"1,935",69.4
E05003253 : Kendal Mintsfeet,"2,201",9.1
E05003254 : Kendal Nether,"2,195",21.5
E05003255 : Kendal Oxenholme and Natland,"1,994",3.8
E05003256 : Kendal Parks,"2,110",40.8
E05003257 : Kendal Romney,"2,051",32.8
E05003258 : Kendal Stonecross,"2,329",29.6
E05003259 : Kendal Strickland,"1,944",28.7
E05003260 : Kendal Underley,"2,203",41.7
E05003261 : Levens,"2,056",0.6
E05003262 : Low Furness,"1,648",0.6
E05003263 : Lyth Valley,"2,180",0.3
E05003264 : Mid Furness,"3,981",0.9
E05003265 : Milnthorpe,"2,199",6.1
E05003266 : Sedbergh and Kirkby Lonsdale,"6,369",0.2
E05003267 : Staveley-in-Cartmel,"1,991",0.3
E05003268 : Staveley-in-Westmorland,"2,116",0.3
E05003269 : Ulverston Central,"1,924",9.4
E05003270 : Ulverston East,"2,268",6.2
E05003271 : Ulverston North,"1,997",10.5
E05003272 : Ulverston South,"1,717",11.1
E05003273 : Ulverston Town,"1,833",58.9
E05003274 : Ulverston West,"1,939",6.1
E05003275 : Whinfell,"2,010",0.1
E05003276 : Windermere Applethwaite and Troutbeck,"2,253",0.4
E05003277 : Windermere Bowness North,"2,035",7.3
E05003278 : Windermere Bowness South,"2,271",4.1
E05003279 : Windermere Town,"2,249",13.5
E05000650 : Astley Bridge,"13,807",20.2
E05000651 : Bradshaw,"11,551",12.2
E05000652 : Breightmet,"13,584",37.1
E05000653 : Bromley Cross,"13,890",19.4
E05000654 : Crompton,"15,401",43.8
E05000655 : Farnworth,"15,793",35.1
E05000656 : Great Lever,"14,467",37.4
E05000657 : Halliwell,"13,929",50.3
E05000658 : Harper Green,"14,478",46.2
E05000659 : Heaton and Lostock,"13,564",12.8
E05000660 : Horwich and Blackrod,"12,741",10.0
E05000661 : Horwich North East,"12,327",12.2
E05000662 : Hulton,"13,748",12.2
E05000663 : Kearsley,"14,212",18.6
E05000664 : Little Lever and Darcy Lever,"12,799",26.6
E05000665 : Rumworth,"16,250",66.4
E05000666 : Smithills,"14,011",11.6
E05000667 : Tonge with the Haulgh,"13,126",43.8
E05000668 : Westhoughton North and Chew Moor,"14,179",10.2
E05000669 : Westhoughton South,"12,929",20.6
E05000670 : Besses,"10,664",18.8
E05000671 : Church,"10,345",26.1
E05000672 : East,"10,579",26.3
E05000673 : Elton,"11,464",33.3
E05000674 : Holyrood,"11,162",25.1
E05000675 : Moorside,"11,985",25.2
E05000676 : North Manor,"9,859",8.1
E05000677 : Pilkington Park,"9,787",13.8
E05000678 : Radcliffe East,"11,301",16.9
E05000679 : Radcliffe North,"11,171",15.8
E05000680 : Radcliffe West,"11,137",22.9
E05000681 : Ramsbottom,"11,717",9.6
E05000682 : Redvales,"11,483",32.0
E05000683 : St Mary's,"10,158",20.6
E05000684 : Sedgley,"12,970",59.3
E05000685 : Tottington,"9,786",14.6
E05000686 : Unsworth,"9,492",16.5
E05000687 : Ancoats and Clayton,"16,141",35.9
E05000688 : Ardwick,"19,250",51.0
E05000689 : Baguley,"14,794",28.4
E05000690 : Bradford,"15,784",31.3
E05000691 : Brooklands,"14,362",50.1
E05000692 : Burnage,"15,227",65.6
E05000693 : Charlestown,"14,332",40.7
E05000694 : Cheetham,"22,562",48.3
E05000695 : Chorlton,"14,138",57.3
E05000696 : Chorlton Park,"15,147",32.2
E05000697 : City Centre,"17,861",66.1
E05000698 : Crumpsall,"15,959",46.9
E05000699 : Didsbury East,"14,333",37.9
E05000700 : Didsbury West,"12,455",47.6
E05000701 : Fallowfield,"15,211",67.8
E05000702 : Gorton North,"16,440",42.6
E05000703 : Gorton South,"19,615",53.2
E05000704 : Harpurhey,"17,652",45.8
E05000705 : Higher Blackley,"13,686",19.8
E05000706 : Hulme,"16,907",76.7
E05000707 : Levenshulme,"15,430",69.6
E05000708 : Longsight,"15,429",116.7
E05000709 : Miles Platting and Newton Heath,"14,963",31.0
E05000710 : Moss Side,"18,902",95.3
E05000711 : Moston,"14,518",46.9
E05000712 : Northenden,"14,771",28.4
E05000713 : Old Moat,"14,490",75.1
E05000714 : Rusholme,"13,643",72.3
E05000715 : Sharston,"16,754",44.9
E05000716 : Whalley Range,"15,430",64.1
E05000717 : Withington,"13,422",89.0
E05000718 : Woodhouse Park,"13,519",12.0
E05000719 : Alexandra,"12,145",37.1
E05000720 : Chadderton Central,"10,435",22.9
E05000721 : Chadderton North,"11,031",29.8
E05000722 : Chadderton South,"11,038",38.8
E05000723 : Coldhurst,"13,201",58.1
E05000724 : Crompton,"10,605",21.7
E05000725 : Failsworth East,"10,473",24.4
E05000726 : Failsworth West,"10,207",40.3
E05000727 : Hollinwood,"10,920",40.5
E05000728 : Medlock Vale,"12,359",32.4
E05000729 : Royton North,"10,321",20.5
E05000730 : Royton South,"10,963",27.2
E05000731 : Saddleworth North,"9,695",2.3
E05000732 : Saddleworth South,"9,966",3.0
E05000733 : Saddleworth West and Lees,"11,094",24.4
E05000734 : St James',"11,653",22.0
E05000735 : St Mary's,"13,954",51.2
E05000736 : Shaw,"10,460",14.7
E05000737 : Waterhead,"12,029",52.4
E05000738 : Werneth,"12,348",67.5
E05000739 : Balderstone and Kirkholt,"10,422",20.6
E05000740 : Bamford,"9,693",22.1
E05000741 : Castleton,"10,159",13.3
E05000742 : Central Rochdale,"11,304",54.8
E05000743 : East Middleton,"10,445",40.3
E05000744 : Healey,"10,411",26.0
E05000745 : Hopwood Hall,"11,604",13.5
E05000746 : Kingsway,"11,983",48.4
E05000747 : Littleborough Lakeside,"9,280",3.5
E05000748 : Milkstone and Deeplish,"11,515",50.3
E05000749 : Milnrow and Newhey,"10,219",5.5
E05000750 : Norden,"9,766",3.7
E05000751 : North Heywood,"10,087",20.2
E05000752 : North Middleton,"10,220",30.2
E05000753 : Smallbridge and Firgrove,"11,469",31.8
E05000754 : South Middleton,"9,650",24.1
E05000755 : Spotland and Falinge,"10,805",19.2
E05000756 : Wardle and West Littleborough,"10,397",6.9
E05000757 : West Heywood,"10,874",19.5
E05000758 : West Middleton,"11,396",22.9
E05000759 : Barton,"12,321",32.3
E05000760 : Boothstown and Ellenbrook,"9,599",9.2
E05000761 : Broughton,"13,869",58.3
E05000762 : Cadishead,"10,264",7.5
E05000763 : Claremont,"9,891",55.1
E05000764 : Eccles,"11,217",42.1
E05000765 : Irlam,"9,803",11.4
E05000766 : Irwell Riverside,"12,901",31.3
E05000767 : Kersal,"12,694",40.1
E05000768 : Langworthy,"12,935",51.5
E05000769 : Little Hulton,"12,851",31.0
E05000770 : Ordsall,"14,194",36.8
E05000771 : Pendlebury,"13,069",18.5
E05000772 : Swinton North,"11,108",32.4
E05000773 : Swinton South,"11,325",39.3
E05000774 : Walkden North,"11,647",26.1
E05000775 : Walkden South,"10,237",27.8
E05000776 : Weaste and Seedley,"11,906",32.1
E05000777 : Winton,"12,067",31.3
E05000778 : Worsley,"10,035",14.4
E05000779 : Bramhall North,"13,033",20.1
E05000780 : Bramhall South,"11,971",12.7
E05000781 : Bredbury and Woodley,"13,593",21.7
E05000782 : Bredbury Green and Romiley,"14,139",16.8
E05000783 : Brinnington and Central,"14,999",28.5
E05000784 : Cheadle and Gatley,"14,698",22.5
E05000785 : Cheadle Hulme North,"12,954",38.2
E05000786 : Cheadle Hulme South,"13,525",27.2
E05000787 : Davenport and Cale Green,"14,924",50.2
E05000788 : Edgeley and Cheadle Heath,"14,176",47.1
E05000789 : Hazel Grove,"14,035",33.5
E05000790 : Heald Green,"12,440",28.2
E05000791 : Heatons North,"13,488",36.8
E05000792 : Heatons South,"13,966",36.0
E05000793 : Manor,"13,474",43.9
E05000794 : Marple North,"12,277",5.2
E05000795 : Marple South,"11,409",10.4
E05000796 : Offerton,"13,720",28.1
E05000797 : Reddish North,"14,458",58.9
E05000798 : Reddish South,"13,594",35.1
E05000799 : Stepping Hill,"12,402",29.4
E05000800 : Ashton Hurst,"11,503",38.2
E05000801 : Ashton St Michael's,"11,767",49.9
E05000802 : Ashton Waterloo,"11,246",15.9
E05000803 : Audenshaw,"11,419",26.7
E05000804 : Denton North East,"11,169",41.2
E05000805 : Denton South,"11,074",38.2
E05000806 : Denton West,"11,635",22.5
E05000807 : Droylsden East,"11,691",36.3
E05000808 : Droylsden West,"11,343",54.4
E05000809 : Dukinfield,"12,483",33.6
E05000810 : Dukinfield Stalybridge,"10,855",35.1
E05000811 : Hyde Godley,"11,465",20.9
E05000812 : Hyde Newton,"13,394",31.5
E05000813 : Hyde Werneth,"11,424",16.9
E05000814 : Longdendale,"9,950",9.8
E05000815 : Mossley,"10,921",12.6
E05000816 : St Peter's,"12,254",28.9
E05000817 : Stalybridge North,"12,705",22.6
E05000818 : Stalybridge South,"11,026",6.0
E05000819 : Altrincham,"11,477",34.6
E05000820 : Ashton upon Mersey,"9,693",32.2
E05000821 : Bowdon,"9,228",4.0
E05000822 : Broadheath,"12,538",38.5
E05000823 : Brooklands,"10,434",46.8
E05000824 : Bucklow-St Martins,"10,358",8.4
E05000825 : Clifford,"11,892",81.8
E05000826 : Davyhulme East,"9,722",12.6
E05000827 : Davyhulme West,"9,832",25.7
E05000828 : Flixton,"10,786",27.3
E05000829 : Gorse Hill,"11,894",19.6
E05000830 : Hale Barns,"9,736",12.3
E05000831 : Hale Central,"10,350",33.8
E05000832 : Longford,"11,952",34.3
E05000833 : Priory,"10,481",32.6
E05000834 : St Mary's,"11,775",35.1
E05000835 : Sale Moor,"10,323",36.1
E05000836 : Stretford,"11,172",42.4
E05000837 : Timperley,"11,061",42.2
E05000838 : Urmston,"11,141",24.4
E05000839 : Village,"10,733",46.5
E05000840 : Abram,"15,020",11.2
E05000841 : Ashton,"12,199",25.9
E05000842 : Aspull New Springs Whelley,"12,728",6.1
E05000843 : Astley Mosley Common,"11,270",6.7
E05000844 : Atherleigh,"11,581",19.4
E05000845 : Atherton,"14,772",33.4
E05000846 : Bryn,"11,662",14.0
E05000847 : Douglas,"12,892",34.0
E05000848 : Golborne and Lowton West,"11,914",14.1
E05000849 : Hindley,"13,385",25.0
E05000850 : Hindley Green,"11,186",30.0
E05000851 : Ince,"13,486",21.2
E05000852 : Leigh East,"12,324",32.5
E05000853 : Leigh South,"14,011",19.5
E05000854 : Leigh West,"14,939",21.6
E05000855 : Lowton East,"12,617",11.0
E05000856 : Orrell,"11,513",15.9
E05000857 : Pemberton,"13,982",22.6
E05000858 : Shevington with Lower Ground,"11,482",14.4
E05000859 : Standish with Langtree,"12,182",12.7
E05000860 : Tyldesley,"14,341",18.6
E05000861 : Wigan Central,"11,712",34.3
E05000862 : Wigan West,"13,414",34.5
E05000863 : Winstanley,"11,264",18.2
E05000864 : Worsley Mesnes,"11,973",28.3
E05005150 : Bank Hall,"5,901",37.0
E05005151 : Briercliffe,"5,654",3.3
E05005152 : Brunshaw,"6,253",32.1
E05005153 : Cliviger with Worsthorne,"5,201",1.2
E05005154 : Coal Clough with Deerplay,"5,122",4.7
E05005155 : Daneshouse with Stoneyholme,"5,955",22.6
E05005156 : Gannow,"5,651",45.5
E05005157 : Gawthorpe,"6,148",34.8
E05005158 : Hapton with Park,"5,929",3.5
E05005159 : Lanehead,"5,904",35.6
E05005160 : Queensgate,"5,691",46.7
E05005161 : Rosegrove with Lowerhouse,"6,585",27.6
E05005162 : Rosehill with Burnley Wood,"5,782",23.4
E05005163 : Trinity,"5,270",32.5
E05005164 : Whittlefield with Ightenhill,"6,013",11.4
E05005165 : Adlington and Anderton,"7,326",7.9
E05005166 : Astley and Buckshaw,"4,511",11.9
E05005167 : Brindle and Hoghton,"2,123",0.8
E05005168 : Chisnall,"4,096",2.2
E05005169 : Chorley East,"6,823",22.0
E05005170 : Chorley North East,"6,651",19.0
E05005171 : Chorley North West,"5,961",18.0
E05005172 : Chorley South East,"6,635",18.1
E05005173 : Chorley South West,"8,597",29.6
E05005174 : Clayton-le-Woods and Whittle-le-Woods,"7,697",16.6
E05005175 : Clayton-le-Woods North,"6,775",25.5
E05005176 : Clayton-le-Woods West and Cuerden,"4,256",11.6
E05005177 : Coppull,"6,509",9.7
E05005178 : Eccleston and Mawdesley,"5,965",2.9
E05005179 : Euxton North,"4,557",10.0
E05005180 : Euxton South,"3,930",9.1
E05005181 : Heath Charnock and Rivington,"2,135",1.1
E05005182 : Lostock,"6,258",2.3
E05005183 : Pennine,"2,239",1.2
E05005184 : Wheelton and Withnell,"4,111",2.4
E05005185 : Ansdell,"4,170",27.1
E05005186 : Ashton,"4,359",27.8
E05005187 : Central,"4,362",41.2
E05005188 : Clifton,"3,946",13.7
E05005189 : Elswick and Little Eccleston,"1,479",1.7
E05005190 : Fairhaven,"4,240",26.4
E05005191 : Freckleton East,"3,223",3.8
E05005192 : Freckleton West,"2,796",10.0
E05005193 : Heyhouses,"4,663",12.6
E05005194 : Kilnhouse,"4,073",22.9
E05005195 : Kirkham North,"3,890",17.7
E05005196 : Kirkham South,"3,304",18.6
E05005197 : Medlar-with-Wesham,"3,584",4.7
E05005198 : Newton and Treales,"3,227",1.0
E05005199 : Park,"5,016",14.1
E05005200 : Ribby-with-Wrea,"1,373",3.1
E05005201 : St Johns,"4,600",13.1
E05005202 : St Leonards,"4,177",10.9
E05005203 : Singleton and Greenhalgh,"1,328",0.7
E05005204 : Staining and Weeton,"3,146",1.8
E05005205 : Warton and Westby,"4,801",1.4
E05005206 : Altham,"5,437",6.5
E05005207 : Barnfield,"4,424",10.5
E05005208 : Baxenden,"4,042",9.1
E05005209 : Central,"5,807",64.5
E05005210 : Church,"4,714",21.6
E05005211 : Clayton-le-Moors,"4,725",24.0
E05005212 : Huncoat,"4,418",10.7
E05005213 : Immanuel,"4,561",4.1
E05005214 : Milnshaw,"4,452",39.7
E05005215 : Netherton,"4,486",16.2
E05005216 : Overton,"6,314",6.7
E05005217 : Peel,"4,518",96.1
E05005218 : Rishton,"6,625",6.0
E05005219 : St Andrew's,"4,416",35.3
E05005220 : St Oswald's,"6,443",7.8
E05005221 : Spring Hill,"5,352",41.6
E05005222 : Bare,"4,067",28.1
E05005223 : Bolton-le-Sands,"4,255",6.6
E05005224 : Bulk,"7,269",20.6
E05005225 : Carnforth,"4,439",8.3
E05005226 : Castle,"7,250",18.2
E05005227 : Duke's,"2,926",40.6
E05005228 : Ellel,"6,854",0.5
E05005229 : Halton-with-Aughton,"2,277",1.4
E05005230 : Harbour,"6,399",59.1
E05005231 : Heysham Central,"4,478",42.8
E05005232 : Heysham North,"5,274",67.1
E05005233 : Heysham South,"7,264",20.9
E05005234 : John O'Gaunt,"7,213",36.7
E05005235 : Kellet,"2,123",0.5
E05005236 : Lower Lune Valley,"4,442",0.3
E05005237 : Overton,"2,414",1.0
E05005238 : Poulton,"7,623",53.0
E05005239 : Scotforth East,"4,343",33.4
E05005240 : Scotforth West,"7,011",13.7
E05005241 : Silverdale,"2,035",0.7
E05005242 : Skerton East,"6,668",46.8
E05005243 : Skerton West,"6,170",33.3
E05005244 : Slyne-with-Hest,"4,119",4.3
E05005245 : Torrisholme,"6,755",33.0
E05005246 : University,"3,384",3.9
E05005247 : Upper Lune Valley,"2,398",0.3
E05005248 : Warton,"2,360",1.4
E05005249 : Westgate,"6,565",21.5
E05005250 : Barrowford,"5,043",12.3
E05005251 : Blacko and Higherford,"1,800",2.1
E05005252 : Boulsworth,"5,262",1.2
E05005253 : Bradley,"6,489",40.1
E05005254 : Brierfield,"4,862",26.3
E05005255 : Clover Hill,"5,381",40.1
E05005256 : Coates,"5,445",13.2
E05005257 : Craven,"5,551",3.0
E05008551 : Earby,"6,183",2.9
E05008552 : Foulridge,"1,683",2.4
E05005260 : Higham and Pendleside,"1,642",0.6
E05005261 : Horsfield,"5,089",30.4
E05005262 : Marsden,"3,489",7.9
E05005263 : Old Laund Booth,"1,459",3.6
E05005264 : Reedley,"5,291",8.8
E05005265 : Southfield,"6,074",18.3
E05005266 : Vivary Bridge,"5,827",15.2
E05005267 : Walverden,"3,848",55.8
E05005268 : Waterside,"5,180",13.7
E05005269 : Whitefield,"3,854",46.1
E05005270 : Ashton,"4,459",39.2
E05005271 : Brookfield,"7,301",37.9
E05005272 : Cadley,"4,589",44.1
E05005273 : College,"3,578",26.0
E05005274 : Deepdale,"6,103",67.9
E05005275 : Fishwick,"5,784",19.9
E05005276 : Garrison,"7,503",20.9
E05005277 : Greyfriars,"6,404",22.2
E05005278 : Ingol,"7,369",36.2
E05005279 : Larches,"7,500",40.2
E05005280 : Lea,"6,157",7.5
E05005281 : Moor Park,"5,211",47.1
E05005282 : Preston Rural East,"4,577",2.5
E05005283 : Preston Rural North,"6,647",0.9
E05005284 : Ribbleton,"8,548",14.2
E05005285 : Riversway,"6,351",26.6
E05005286 : St George's,"7,029",79.0
E05005287 : St Matthew's,"8,187",68.0
E05005288 : Sharoe Green,"6,279",24.9
E05005289 : Town Centre,"8,628",42.3
E05005290 : Tulketh,"7,380",69.8
E05005291 : University,"4,618",48.0
"E05005292 : Aighton, Bailey and Chaigley","1,737",0.4
E05005293 : Alston and Hothersall,"2,643",2.2
E05005294 : Billington and Old Langho,"3,154",4.0
"E05005295 : Bowland, Newton and Slaidburn","1,325",0.1
E05005296 : Chatburn,"1,316",0.8
E05005297 : Chipping,"1,356",0.1
E05005298 : Clayton-le-Dale with Ramsgreave,"2,633",1.4
E05005299 : Derby and Thornley,"2,995",2.2
E05005300 : Dilworth,"2,551",5.6
E05005301 : Edisford and Low Moor,"2,773",20.2
"E05005302 : Gisburn, Rimington","1,405",0.2
E05005303 : Langho,"2,261",3.2
E05005304 : Littlemoor,"2,936",20.8
E05005305 : Mellor,"2,672",1.8
E05005306 : Primrose,"3,075",34.3
E05005307 : Read and Simonstone,"2,573",2.4
E05005308 : Ribchester,"1,598",1.7
E05005309 : Sabden,"1,422",1.4
E05005310 : St Mary's,"2,846",9.2
E05005311 : Salthill,"3,135",10.9
E05005312 : Waddington and West Bradford,"2,933",0.7
E05005313 : Whalley,"3,895",2.4
E05005314 : Wilpshire,"2,582",6.4
E05005315 : Wiswell and Pendleton,"1,316",0.5
E05005316 : Cribden,"3,756",11.6
E05005317 : Eden,"3,520",1.7
E05005318 : Facit and Shawforth,"3,586",3.2
E05005319 : Goodshaw,"4,033",4.7
E05005320 : Greenfield,"5,726",22.4
E05005321 : Greensclough,"5,805",5.2
E05005322 : Hareholme,"5,389",10.6
E05005323 : Healey and Whitworth,"3,914",5.6
E05005324 : Helmshore,"5,805",3.1
E05005325 : Irwell,"5,505",12.2
E05005326 : Longholme,"5,478",11.4
E05005327 : Stacksteads,"3,789",4.8
E05005328 : Whitewell,"5,642",3.1
E05005329 : Worsley,"6,034",4.1
E05005330 : Bamber Bridge East,"4,896",13.3
E05005331 : Bamber Bridge North,"4,665",28.4
E05005332 : Bamber Bridge West,"4,384",37.7
E05005333 : Broad Oak,"4,163",21.4
E05005334 : Charnock,"3,532",21.7
E05005335 : Coupe Green and Gregson Lane,"3,372",11.6
E05005336 : Earnshaw Bridge,"3,600",23.9
E05005337 : Farington East,"2,823",9.0
E05005338 : Farington West,"4,354",7.0
E05005339 : Golden Hill,"5,000",40.5
E05005340 : Howick and Priory,"3,863",8.5
E05005341 : Kingsfold,"4,339",50.7
E05005342 : Leyland Central,"3,740",50.5
E05005343 : Leyland St. Ambrose,"4,833",19.1
E05005344 : Leyland St. Mary's,"3,479",17.7
E05005345 : Little Hoole and Much Hoole,"4,067",3.2
E05005346 : Longton and Hutton West,"5,527",3.2
E05005347 : Lostock Hall,"3,762",36.7
E05005348 : Lowerhouse,"4,156",25.6
E05005349 : Middleforth,"3,646",24.5
E05005350 : Moss Side,"3,679",8.9
E05005351 : New Longton and Hutton East,"4,402",5.6
E05005352 : Samlesbury and Walton,"4,079",1.7
E05005353 : Seven Stars,"3,730",17.7
E05005354 : Tardy Gate,"3,670",24.6
E05005355 : Walton-le-Dale,"3,792",16.3
E05005356 : Whitefield,"3,504",44.1
E05005357 : Ashurst,"6,310",23.4
E05005358 : Aughton and Downholland,"5,471",1.4
E05005359 : Aughton Park,"3,723",5.2
E05005360 : Birch Green,"4,350",32.3
E05005361 : Burscough East,"4,172",11.6
E05005362 : Burscough West,"5,010",5.8
E05005363 : Derby,"6,720",7.2
E05005364 : Digmoor,"4,467",41.5
E05005365 : Halsall,"2,057",0.7
E05005366 : Hesketh-with-Becconsall,"4,041",2.2
E05005367 : Knowsley,"5,517",19.0
E05005368 : Moorside,"3,909",47.1
E05005369 : North Meols,"4,146",1.3
E05005370 : Parbold,"3,784",2.0
E05005371 : Rufford,"2,049",1.6
E05005372 : Scarisbrick,"3,865",1.0
E05005373 : Scott,"5,723",14.9
E05005374 : Skelmersdale North,"4,061",13.4
E05005375 : Skelmersdale South,"6,458",17.3
E05005376 : Tanhouse,"4,980",22.2
E05005377 : Tarleton,"5,652",2.5
E05005378 : Up Holland,"6,175",6.3
E05005379 : Wrightington,"4,087",2.2
E05005380 : Bickerstaffe,"1,988",0.5
E05005381 : Newburgh,"1,970",0.9
E05005382 : Bourne,"6,676",20.7
E05005383 : Breck,"3,363",13.5
E05005384 : Brock,"1,934",0.7
